Product Code,Old Product Code,Manufacturer,Product Description,Unit of Measure,Trade Price,Sell Price,Bar Code,Group Description,Sub Group-1 Description,Sub Group-2 Description
10168492,HAGMSN140,HAG,HAGMSN140: MCB 1 Pole C Curve 6KA 250VAC 40A,EA,0.00,6.53,3250614323546,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10081454,CLIC2030-WE,CLI,CLIC2030-WE: Switch 1 Gang Arch 10A 250V WH,EA,0.00,10.22,9311554376116,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SWITCHES
10031856,CLI3043VA-VW,CLI,CLI3043VA-VW: Switch 3 Gang Vert 10A 250V VW,EA,0.00,23.93,9311554786045,BAKELITE,ICONIC,SWITCHES
10172318,AUSNBNLSB50WH,AUS,AUSNBNLSB50WH: Bend 50mm ID 90 Deg NBN 305mm RAD,EA,0.00,18.62,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10187619,TDRPUBIG4,TDR,TDRPUBIG4: Powerpoint 4 Gang 10A 250V D/Pole WH,EA,0.00,44.76,,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10233100,OMEXLP13-4WH,OME,OMEXLP13-4WH: Heatshrink 13- 6.4mm 1.2MT White,LN,0.00,5.20,9323441032203,CABLE ACCESSORIES,HEATSHRINK,HEAT SHRINK
10187706,TDRPUPPSW2G,TDR,TDRPUPPSW2G: Powerpoint 2 Gang Ex SW 10A 250V WH,EA,0.00,33.49,9349703004849,BAKELITE,DOMESTIC & ALLIED PRODUCTS,COMBINATIONS
10066829,HAGADC925T,HAG,HAGADC925T: RCBO 1M 1P+N 6KA C-25A 30MA A,EA,0.00,40.78,3250611033370,CIRCUIT BREAKERS,CB RESIDUAL CURRENT DEVICE,RCD MINIATURE
10033484,OME32,OME,OME32: Cable Gland Nylon 32mm IP68 18-25mm OD,EA,0.00,4.19,9323441000059,CABLE ACCESSORIES,GLANDS,PVC CABLE GLANDS
10245751,RSMR240,RSM,RSMR240: Smoke Alarm 240V W/ Battery Backup,EA,0.00,36.32,9369998320875,SIGHT & SOUND PRODUCTS,SMOKE DETECTORS,SMOKE DETECTORS
10124870,PIRFT2C7050,PIR,PIRFT2C7050: Cable Flat 2 Core 1.5mm Twin Active,MT,0.00,1.76,9310835900538,CABLE,PVC POWER CABLE,FLAT  TPS  POWER CABLE
10031860,CLI3043VH-VW,CLI,CLI3043VH-VW: Switch 3 Gang Grid & Plate VW,EA,0.00,9.41,9311554793234,BAKELITE,ICONIC,PVC PLATES  GRIDS & MECHS
10142666,AUSJC20IDWH,AUS,AUSJC20IDWH: PVC Coupling 20mm NBN Comms White,EA,0.00,0.63,,COMMUNICATION,TELSTRA NETWORK PRODUCTS,TELSTRA CONDUIT
10163133,OMEMEECT,OME,OMEMEECT: Earthing Conductor Tag,EA,0.00,1.91,9323441008185,CABLE ACCESSORIES,TEST TAGS,TEST TAGS
10198856,TRDSC2530,TRD,TRDSC2530: Girder Clip Spring 25-32mm,EA,0.00,0.44,9323441014162,CABLE ACCESSORIES,CABLE CLIPS,CABLE CLIPS METAL
10255572,CLIMX9MC163,CLI,CLIMX9MC163: MAX9 MCB 1 POLE C CURVE 6KA 240VAC 63A,EA,0.00,6.67,9311554813673,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10250484,LENEFD310R,LEN,LENEFD310R: Ex Fan Ceiling Rnd Grille 295mm Cutout T,EA,0.00,72.58,9323441001032,HEATING & AIR MOVEMENT,FANS  AIR MOVEMENT,EXHAUST FAN & ACCESS. DOMESTIC
10280080,OMEPR10,OME,OMEPR10: Plug 3P 10 Rewireable  Transparent,EA,0.00,3.23,,BAKELITE,DOMESTIC & ALLIED PRODUCTS,PLUGS  BASES  ROSES & SOCKETS
10340030,AMPSB9025HD,AMP,AMPSB9025HD:  Sweep Bend 25mm 90deg Heavy Duty Orange,EA,0.00,3.39,,PVC CONDUIT & FITTINGS,PVC CONDUIT FITTINGS,PVC CONDUIT CONN./FITTINGS
10086499,TRDCCH3210,TRD,TRDCCH3210: CONDUIT CORR 32MM HD ORG 10M PVC,CL,0.00,42.38,9323441038076,PVC CONDUIT & FITTINGS,PVC CORRUGATED CONDUIT-HD-LD,PVC HEAVY DUTY CORRUGATED COND
10081605,CLIC2032VA-WE,CLI,CLIC2032VA-WE: Switch 2 Gang Vert 10A 250V WH,EA,0.00,13.80,9311554321352,BAKELITE,DOMESTIC & ALLIED PRODUCTS,BAKELITE FAST MOVERS
10108200,CLEECFLED-LI,CLE,CLEECFLED-LI: Cleverfit Economy LED Exit Ss&Ds Lithium,EA,0.00,81.90,9332274033165,LIGHT FITTINGS,LED LIGHT FITTINGS,LED EMERGENCY LIGHT FITTINGS
10135456,TRDHS32,TRD,TRDHS32: Saddle Half Zinc 32mm,EA,0.00,0.46,9323441014124,BAKELITE,DOMESTIC & ALLIED PRODUCTS,SADDLES  CONDUIT FIXING
10255569,CLIMX9MC132,CLI,CLIMX9MC132: MAX9 MCB 1 POLE C CURVE 6KA 240VAC 32A,EA,0.00,5.43,,CIRCUIT BREAKERS,MINIATURE CIRCUIT BREAKER,MCB INDUSTRIAL
10214643,GARTCW24BKWH,GAR,GARTCW24BKWH: Cable Fig 8 Speaker Wire 2X 24/0.2 BK/WH,MT,0.00,0.95,9329849003654,CABLE,SUNDRY CABLES,HOOK UP & BELL WIRE
10000949,OME008PLC2,OME,OME008PLC2: Enclosure ABS IP66 150x110x70mm Opaque,EA,0.00,16.12,8017521111278,ENCLOSURES,NON METAL ENCLOSURES,NON-METAL ENCLOSURE
10026125,CLI238/25-WE,CLI,CLI238/25-WE: Mounting Box 25mm End Entry WH,EA,0.00,16.66,9311554089917,BAKELITE,DOMESTIC & ALLIED PRODUCTS,WALL FLOOR BOX & BRACKETS
